Thời Gian,ID Xe,Loại Phương Tiện,Tốc Độ (km/h),Biển Số,Trạng Thái
2026-06-12 23:32:58,155,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:32:59,156,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:32:59,107,Ô tô,45,Không rõ,Bình Thường
2026-06-12 23:33:00,157,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:00,154,Xe tải,0,Không rõ,Bình Thường
2026-06-12 23:33:00,84,Ô tô,38,Không rõ,Bình Thường
2026-06-12 23:33:01,160,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:01,161,Xe tải,0,Không rõ,Bình Thường
2026-06-12 23:33:02,162,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:03,163,Xe tải,0,Không rõ,Bình Thường
2026-06-12 23:33:04,47,Xe tải,33,Không rõ,Bình Thường
2026-06-12 23:33:05,64,Ô tô,44,Không rõ,Bình Thường
2026-06-12 23:33:05,75,Ô tô,37,Không rõ,Bình Thường
2026-06-12 23:33:05,90,Ô tô,34,Không rõ,Bình Thường
2026-06-12 23:33:05,101,Ô tô,41,Không rõ,Bình Thường
2026-06-12 23:33:05,116,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:05,117,Ô tô,47,Không rõ,Bình Thường
2026-06-12 23:33:05,119,Ô tô,40,Không rõ,Bình Thường
2026-06-12 23:33:06,121,Ô tô,22,Không rõ,Bình Thường
2026-06-12 23:33:06,126,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:06,127,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:06,132,Xe buýt,4,Không rõ,Bình Thường
2026-06-12 23:33:06,134,Ô tô,47,Không rõ,Bình Thường
2026-06-12 23:33:06,135,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:06,153,Ô tô,33,Không rõ,Ngược Chiều
2026-06-12 23:33:07,158,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:07,159,Ô tô,31,Không rõ,Bình Thường
2026-06-12 23:33:07,164,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:33:07,165,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:30,5,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:29:32,15,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:29:33,16,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:35,19,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:36,11,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:36,24,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:29:37,20,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:29:38,26,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:38,27,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:29:39,9,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:29:39,30,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:29:40,31,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:29:40,7,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:29:41,32,Xe buýt,0,Không rõ,Bình Thường
